Pays,kcal,Proteine,ani%,popPlus%,PIB,continent,tdi,cluster
Argentine,3229,102.64,65.2182385035074,0.8737556891474189,19482.2,amerique,0.25,2
Brésil,3263,94.99,55.36372249710496,0.8587709407216495,15432.9,amerique,0.03,2
Canada,3494,104.95,52.12005717008099,0.9874275216717376,42339.4,amerique,17.52,2
États-Unis d'Amérique,3682,109.6,63.667883211678834,0.8018771357931371,51003.7,amerique,0.63,2
Israël,3610,128.14,56.555330107694715,1.164311878597593,31250.8,asie,0.0,2
République de Corée,3334,96.2,47.95218295218295,0.5305797604228313,32548.7,asie,16.62,2
Kazakhstan,3264,96.41,59.184731874286896,1.044803638375023,22972.4,asie,56.25,2
Lituanie,3417,124.49,61.44268615953088,-0.3632760898282695,25143.9,europe,40.24,2
Malte,3378,110.36,55.94418267488221,0.23364485981308408,30050.1,europe,69.23,2
Monténégro,3491,112.07,56.31301864905862,0.0,14551.4,europe,70.0,2
Norvège,3485,110.9,59.50405770964833,0.9811774128954744,62896.3,europe,1.89,2
Pays-Bas,3228,111.72,67.82133906194056,0.2692353715448127,45191.5,europe,132.41,2
Albanie,3193,111.42,53.32974331358823,0.3478810879190386,10492.8,europe,59.52,2
Roumanie,3358,103.02,45.82605319355465,-0.2574120891749023,19018.9,europe,26.95,2
Royaume-Uni,3424,103.21,56.4673965700998,0.5616373155640171,37398.8,europe,38.83,2
Slovénie,3168,96.19,53.86214783241502,0.19342359767891684,27622.7,europe,34.0,2
Suède,3179,107.72,65.75380616412923,0.6308484912206919,43475.8,europe,41.24,2
Pologne,3451,101.47,52.49827535232089,0.015702284682421293,23555.5,europe,4.5,2
Portugal,3477,110.88,60.67821067821069,0.03772161448509996,25654.6,europe,19.45,2
Islande,3380,133.54,72.24801557585742,1.2269938650306749,41259.8,europe,11.11,2
Suisse,3391,93.08,64.21357971637302,1.012879829936226,56535.7,europe,42.42,2
Irlande,3600,110.02,58.91656062534084,1.1145104895104896,45470.2,europe,61.54,2
Grèce,3400,108.8,54.44852941176471,0.026966292134831458,23746.1,europe,39.46,2
France,3482,110.52,62.74882374230908,0.5536700189248791,37350.3,europe,27.36,2
Finlande,3368,117.72,62.03703703703704,0.33284023668639057,39428.3,europe,14.04,2
Fédération de Russie,3361,102.84,54.628549202644884,-0.23468603757770484,25551.1,europe,13.39,2
Estonie,3253,103.9,51.24157844080847,-0.3098373353989156,26282.9,europe,74.07,2
Espagne,3174,104.88,62.11861174675821,0.3678750935728799,30678.9,europe,12.58,2
Danemark,3367,108.88,64.12564290962527,0.37513397642015006,44564.5,europe,66.89,2
Belgique,3733,99.59,58.35927301937945,0.3978300180831827,40928.1,europe,176.22,2
Autriche,3768,106.21,59.18463421523398,0.3662570888468809,44301.1,europe,62.13,2
Allemagne,3499,101.59,60.51776749680086,-0.08816425120772947,42914.5,europe,50.22,2
Italie,3579,108.51,53.67247258317206,0.17245627001724562,34219.8,europe,7.56,2
Tchéquie (la),3256,87.47,57.71121527380816,0.3939962476547843,28379.7,europe,49.51,2
Nouvelle-Zélande,3137,92.54,59.228441754916794,1.031390134529148,33782.1,oceanie,0.63,2
Australie,3276,106.28,67.4444862627023,1.2711496746203905,43118.1,oceanie,1.58,2
