Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Botswana","Importations - Quantité","Viande de Volailles","2013","6"
"Bilans Alimentaires","Botswana","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Brésil","Production","Viande de Volailles","2013","12915"
"Bilans Alimentaires","Brésil","Importations - Quantité","Viande de Volailles","2013","3"
"Bilans Alimentaires","Brésil","Exportations - Quantité","Viande de Volailles","2013","3902"
"Bilans Alimentaires","Brunéi Darussalam","Production","Viande de Volailles","2013","24"
"Bilans Alimentaires","Brunéi Darussalam","Importations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Brunéi Darussalam","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Bulgarie","Production","Viande de Volailles","2013","98"
"Bilans Alimentaires","Bulgarie","Importations - Quantité","Viande de Volailles","2013","86"
"Bilans Alimentaires","Bulgarie","Exportations - Quantité","Viande de Volailles","2013","34"
"Bilans Alimentaires","Burkina Faso","Production","Viande de Volailles","2013","38"
"Bilans Alimentaires","Burkina Faso","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Burkina Faso","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Cabo Verde","Production","Viande de Volailles","2013","1"
"Bilans Alimentaires","Cabo Verde","Importations - Quantité","Viande de Volailles","2013","9"
"Bilans Alimentaires","Cabo Verde","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Cambodge","Production","Viande de Volailles","2013","27"
"Bilans Alimentaires","Cambodge","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Cambodge","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Cameroun","Production","Viande de Volailles","2013","72"
"Bilans Alimentaires","Cameroun","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Cameroun","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Canada","Production","Viande de Volailles","2013","1254"
"Bilans Alimentaires","Canada","Importations - Quantité","Viande de Volailles","2013","226"
"Bilans Alimentaires","Canada","Exportations - Quantité","Viande de Volailles","2013","190"
"Bilans Alimentaires","Chili","Production","Viande de Volailles","2013","676"
"Bilans Alimentaires","Chili","Importations - Quantité","Viande de Volailles","2013","81"
"Bilans Alimentaires","Chili","Exportations - Quantité","Viande de Volailles","2013","113"
"Bilans Alimentaires","Chypre","Production","Viande de Volailles","2013","22"
"Bilans Alimentaires","Chypre","Importations - Quantité","Viande de Volailles","2013","13"
"Bilans Alimentaires","Chypre","Exportations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Colombie","Production","Viande de Volailles","2013","1276"
"Bilans Alimentaires","Colombie","Importations - Quantité","Viande de Volailles","2013","58"
"Bilans Alimentaires","Colombie","Exportations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Congo","Production","Viande de Volailles","2013","7"
"Bilans Alimentaires","Congo","Importations - Quantité","Viande de Volailles","2013","51"
"Bilans Alimentaires","Congo","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Costa Rica","Production","Viande de Volailles","2013","115"
"Bilans Alimentaires","Costa Rica","Importations - Quantité","Viande de Volailles","2013","8"
"Bilans Alimentaires","Costa Rica","Exportations - Quantité","Viande de Volailles","2013","3"
"Bilans Alimentaires","Côte d'Ivoire","Production","Viande de Volailles","2013","48"
"Bilans Alimentaires","Côte d'Ivoire","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Côte d'Ivoire","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Croatie","Production","Viande de Volailles","2013","29"
"Bilans Alimentaires","Croatie","Importations - Quantité","Viande de Volailles","2013","18"
"Bilans Alimentaires","Croatie","Exportations - Quantité","Viande de Volailles","2013","10"
"Bilans Alimentaires","Cuba","Production","Viande de Volailles","2013","32"
"Bilans Alimentaires","Cuba","Importations - Quantité","Viande de Volailles","2013","195"
"Bilans Alimentaires","Cuba","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Danemark","Production","Viande de Volailles","2013","172"
"Bilans Alimentaires","Danemark","Importations - Quantité","Viande de Volailles","2013","101"
"Bilans Alimentaires","Danemark","Exportations - Quantité","Viande de Volailles","2013","122"
"Bilans Alimentaires","Djibouti","Importations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Dominique","Production","Viande de Volailles","2013","0"
"Bilans Alimentaires","Dominique","Importations - Quantité","Viande de Volailles","2013","4"
"Bilans Alimentaires","Égypte","Production","Viande de Volailles","2013","1060"
