Pays,kcal,Proteine,ani%,popPlus%,PIB,continent,tdi,cluster
Malawi,2367,64.55,12.068164213787762,2.8731296366151136,1062.2,afrique,0.0,3
Zambie,1930,55.22,16.714958348424485,3.2966252220248666,3576.7,afrique,4.17,3
Mali,2890,85.2,27.805164319248828,3.016022620169651,1793.7,afrique,6.38,3
Mauritanie,2876,84.96,39.86581920903955,2.476290832455216,3565.5,afrique,77.27,3
Mozambique,2283,45.7,13.894967177242886,2.5036701979923026,1034.6,afrique,27.03,3
Niger,2547,80.94,18.19866567828021,3.928425715451419,874.1,afrique,10.53,3
Nigéria,2700,63.76,15.448557089084064,2.8317755902247175,5479.1,afrique,0.33,3
Ouganda,2130,52.68,23.519362186788157,3.3923953117261876,1610.8,afrique,0.0,3
Madagascar,2052,46.67,21.469895007499463,2.8303579438413924,1364.3,afrique,0.0,3
République centrafricaine,1879,46.06,37.19062092922275,2.011049723756906,593.1,afrique,14.29,3
Rwanda,2228,56.81,9.839816933638442,2.784080991447024,1552.8,afrique,0.0,3
Sao Tomé-et-Principe,2400,53.08,29.95478522984175,2.6595744680851063,2785.7,afrique,100.0,3
Sénégal,2456,58.49,26.07283296289964,2.965175579192773,2196.0,afrique,0.0,3
Sierra Leone,2404,56.13,26.492071975770532,1.8899481518648602,1655.1,afrique,46.67,3
Eswatini,2329,58.6,30.0,1.543460601137287,7865.4,afrique,25.0,3
Tchad,2110,62.72,15.465561224489797,3.028598971722365,2007.1,afrique,0.0,3
Togo,2454,59.79,15.119585214918882,2.6192985097094685,1275.2,afrique,28.89,3
République-Unie de Tanzanie,2208,57.8,17.64705882352941,3.076407927505598,2316.4,afrique,2.2,3
Libéria,2204,37.66,21.614445034519385,2.4821002386634845,818.6,afrique,65.79,3
Zimbabwe,2110,48.35,24.322647362978284,3.10405129699796,1929.8,afrique,8.57,3
Kenya,2206,61.84,25.711513583441135,2.7236092454490715,2683.0,afrique,0.0,3
Angola,2473,57.26,32.1341250436605,3.126650977378608,6188.0,afrique,91.94,3
Bénin,2619,64.43,22.11702623001707,2.7061983882200775,1934.6,afrique,91.13,3
Burkina Faso,2720,79.38,13.945578231292519,2.885783718104496,1562.3,afrique,0.0,3
Cameroun,2671,69.96,16.72384219554031,2.552995391705069,3100.2,afrique,1.37,3
Éthiopie,2131,60.4,12.7317880794702,2.5858779666190626,1325.8,afrique,0.0,3
Gabon,2830,86.63,49.671014660048485,2.3882424984690753,16503.1,afrique,94.59,3
Gambie,2628,61.55,22.908204711616573,3.238414293690676,1584.8,afrique,80.0,3
Congo,2208,51.66,43.070073557878445,2.559372838367535,5317.1,afrique,87.93,3
Guinée,2566,55.93,17.77221526908636,2.5674613570867173,1711.7,afrique,59.09,3
Guinée-Bissau,2292,44.04,20.18619436875568,2.403846153846154,1421.3,afrique,33.33,3
Haïti,2091,47.72,21.269907795473596,1.4055435423628857,1629.4,amerique,88.61,3
Belize,2751,73.27,39.511396205814115,2.4691358024691357,7856.4,amerique,0.0,3
Guatemala,2419,63.73,27.977404675976775,2.552542597626467,7005.0,amerique,32.6,3
Liban,3066,79.71,36.78333960607201,3.7658704540563805,14400.6,asie,17.17,3
Iraq,2545,63.63,20.713499921420713,3.011166025993044,15223.6,asie,82.44,3
Tadjikistan,2201,63.38,33.55948248658883,2.4847047072043953,2440.6,asie,95.24,3
Timor-Leste,2131,57.52,30.858831710709318,1.7055655296229804,8672.5,asie,85.71,3
Jordanie,3100,79.59,34.150018846588765,3.780853188757312,8756.7,asie,34.71,3
Yémen,2223,58.94,23.549372242958945,2.3268489015596177,3872.8,asie,41.6,3
Afghanistan,2090,58.25,20.978540772532188,2.437552388935457,1848.7,asie,64.86,3
Îles Salomon,2391,56.36,30.997161107168203,2.0,2137.0,oceanie,100.0,3
Vanuatu,2836,69.68,41.94890929965556,2.42914979757085,2890.2,oceanie,66.67,3
