Pays,kcal,Proteine,ani%,popPlus%,PIB,continent,tdi,cluster
Afrique du Sud,3022,85.33,42.63447790929333,0.7444737143511625,12339.7,afrique,17.97,4
Maurice,3065,88.36,45.065640561339976,0.3225806451612903,17628.8,afrique,4.08,4
Venezuela (République bolivarienne du),2631,73.01,52.212025749897265,1.5022533800701052,17665.2,amerique,23.37,4
Mexique,3072,87.63,46.39963482825516,1.2288265327231955,16385.1,amerique,23.04,4
Grenade,2447,69.19,60.10984246278365,0.9523809523809524,11262.7,amerique,87.5,4
Panama,2733,79.44,52.42950654582075,1.6307206733298263,19377.9,amerique,9.43,4
Équateur,2344,61.36,59.533898305084755,1.5879163439194421,10665.5,amerique,0.29,4
Dominique,2931,76.25,51.3967213114754,0.0,9871.7,amerique,100.0,4
Sainte-Lucie,2595,85.71,59.05961964764905,0.5524861878453038,12415.7,amerique,92.31,4
Costa Rica,2848,75.07,54.589050219794856,1.3943808532778357,14035.3,amerique,6.67,4
Colombie,2804,64.38,52.00372786579683,1.2933925876236794,12296.3,amerique,4.35,4
Chili,2979,87.36,51.82005494505495,0.8874892642427712,21998.3,amerique,12.58,4
Saint-Vincent-et-les Grenadines,2968,86.23,54.4706018786965,0.0,10193.3,amerique,100.0,4
Trinité-et-Tobago,3052,83.36,51.715451055662186,0.2991772625280479,31405.4,amerique,27.47,4
Bermudes,2671,90.79,66.39497742042076,0.0,50669.3,amerique,100.0,4
Barbade,2937,88.24,57.2529465095195,0.7067137809187279,16409.9,amerique,6.67,4
Bahamas,2670,86.62,65.14661740937427,1.3440860215053763,28871.4,amerique,73.08,4
Uruguay,3050,92.44,58.4162700129814,0.35346097201767307,19270.6,amerique,4.04,4
Antigua-et-Barbuda,2417,83.71,67.88914108230797,1.1235955056179776,18823.8,amerique,100.0,4
Saint-Kitts-et-Nevis,2492,72.32,63.02544247787611,0.0,22399.1,amerique,100.0,4
Turkménistan,2840,90.49,41.938335727704725,1.2951865455248406,13236.0,asie,4.76,4
Mongolie,2510,80.79,60.06931550934521,1.5379113018597999,10720.1,asie,100.0,4
Maldives,2732,122.43,70.21154945683247,2.0710059171597637,13148.7,asie,100.0,4
Chine,3108,98.04,40.43247654018768,0.6125527505571566,12206.8,asie,9.78,4
Japon,2726,87.73,55.23766100535734,-0.08330058939096267,37148.6,asie,42.14,4
Arménie,2928,90.04,48.034207019102624,0.2694509936005389,7727.9,asie,80.0,4
Géorgie,2905,80.53,35.78790512852353,-0.3900871959614502,8254.0,asie,81.13,4
Chypre,2649,77.61,58.04664347377915,1.0628875110717448,29879.8,asie,38.24,4
Malaisie,2916,81.58,55.65089482716352,1.6313269493844051,23224.2,asie,3.18,4
Macédoine du Nord,2949,78.51,41.07756973633931,0.04748338081671415,11877.8,europe,95.0,4
Ukraine,3138,88.62,48.691040397201526,-0.6391390292115089,8338.9,europe,6.73,4
Bélarus,3250,93.82,58.58026007247922,-0.5103668261562998,17656.1,europe,5.44,4
Bosnie-Herzégovine,3154,91.64,33.19511130510694,-0.13041210224308816,10284.8,europe,27.45,4
Slovaquie,2944,72.51,48.20024824162184,0.07344840249724569,26580.7,europe,69.77,4
Lettonie,3174,91.39,55.77196629828208,-0.48543689320388345,21563.7,europe,67.44,4
Bulgarie,2829,83.53,49.44331377948043,-0.7557021159659247,15997.4,europe,57.33,4
Croatie,3059,84.35,56.88203912270302,-0.3947062920826561,20271.3,europe,48.65,4
République de Moldova,2714,71.41,49.34883069598096,-0.7683551508252703,4541.9,europe,30.65,4
Hongrie,3037,78.85,53.39251743817375,-0.21050521251002405,23119.0,europe,21.71,4
Serbie,2728,82.22,48.56482607638044,-0.4396524651941798,13295.0,europe,11.88,4
Samoa,2960,85.53,62.738220507424295,0.5291005291005291,5489.8,oceanie,92.86,4
